Block,Gridpoint,x-coordinate,y-coordinate,z-coordinate,number 2498,,,3997,,,5497,,,6997,,,8497,,,9997,,,11597,,,12997,,,14497,,,15997,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,6.00170,1.19520,1.50430,6.00000,1.20000,1.49995,6.00019,1.20565,1.50088,6.00004,1.22205,1.50218,5.99943,1.24403,1.50099,5.99957,1.25976,1.49995,5.99943,1.26181,1.49984,6.00133,1.25008,1.49976,6.00315,1.23136,1.49997,6.00496,1.21128,1.50011,6.00216,1.19720,1.50306,end,,,,,,,,,,,,,,,,,,,,,,
1,2,6.00350,0.84520,1.50290,6.00000,0.85000,1.49995,6.00017,0.85565,1.50057,6.00015,0.87205,1.50146,5.99986,0.89403,1.50063,5.99988,0.90976,1.50000,5.99966,0.91182,1.49994,6.00168,0.90008,1.50056,6.00346,0.88136,1.50133,6.00523,0.86128,1.50002,6.00377,0.84721,1.50201,end,,,,,,,,,,,,,,,,,,,,,,
1,3,6.00520,0.84421,1.75290,6.00000,0.85000,1.74995,6.00020,0.85543,1.75057,6.00024,0.87154,1.75146,6.00004,0.89378,1.75063,5.99997,0.90980,1.75000,5.99972,0.91188,1.74994,6.00208,0.90065,1.75056,6.00429,0.88233,1.75132,6.00649,0.86121,1.75001,6.00538,0.84646,1.75200,end,,,,,,,,,,,,,,,,,,,,,,
1,4,6.00340,1.19420,1.75430,6.00000,1.19999,1.74995,6.00022,1.20543,1.75088,6.00013,1.22154,1.75218,5.99961,1.24378,1.75099,5.99966,1.25980,1.74995,5.99950,1.26188,1.74984,6.00172,1.25065,1.74976,6.00398,1.23233,1.74996,6.00622,1.21121,1.75010,6.00376,1.19646,1.75305,end,,,,,,,,,,,,,,,,,,,,,,
1,5,5.75360,0.84390,1.50460,5.75000,0.85000,1.49995,5.75017,0.85567,1.50061,5.75015,0.87198,1.50155,5.74986,0.89372,1.50081,5.74988,0.90954,1.50009,5.74966,0.91165,1.50000,5.75168,0.89983,1.50096,5.75346,0.88115,1.50216,5.75523,0.86108,1.50128,5.75378,0.84605,1.50362,end,,,,,,,,,,,,,,,,,,,,,,
1,6,5.75520,0.84291,1.75460,5.75000,0.85000,1.74995,5.75020,0.85545,1.75061,5.75024,0.87146,1.75155,5.75004,0.89347,1.75081,5.74997,0.90958,1.75009,5.74972,0.91172,1.75000,5.75208,0.90040,1.75095,5.75429,0.88212,1.75215,5.75649,0.86102,1.75128,5.75539,0.84530,1.75361,end,,,,,,,,,,,,,,,,,,,,,,
1,7,5.75340,1.19290,1.75600,5.75000,1.19999,1.74995,5.75022,1.20545,1.75092,5.75013,1.22146,1.75227,5.74961,1.24347,1.75116,5.74966,1.25958,1.75005,5.74950,1.26172,1.74990,5.75172,1.25040,1.75016,5.75399,1.23211,1.75080,5.75622,1.21102,1.75136,5.75377,1.19530,1.75466,end,,,,,,,,,,,,,,,,,,,,,,
1,8,5.75170,1.19390,1.50600,5.75000,1.20000,1.49995,5.75019,1.20567,1.50092,5.75004,1.22198,1.50227,5.74944,1.24372,1.50116,5.74957,1.25954,1.50005,5.74943,1.26165,1.49990,5.75133,1.24983,1.50016,5.75316,1.23114,1.50080,5.75496,1.21108,1.50137,5.75216,1.19604,1.50466,end,,,,,,,,,,,,,,,,,,,,,,
2,9,5.73360,2.64720,1.50000,5.75000,2.65000,1.49995,5.75025,2.65658,1.49998,5.75062,2.67320,1.50007,5.75058,2.69430,1.50011,5.74990,2.71009,1.50036,5.74762,2.71442,1.50223,5.74233,2.70621,1.50559,5.73713,2.69013,1.50757,5.73518,2.66838,1.50511,5.73416,2.64903,1.49998,end,,,,,,,,,,,,,,,,,,,,,,
2,10,5.98360,2.64560,1.50020,6.00000,2.65000,1.49995,6.00025,2.65656,1.49993,6.00062,2.67316,1.49995,6.00058,2.69422,1.49994,5.99990,2.70991,1.50034,5.99762,2.71390,1.50213,5.99233,2.70550,1.50536,5.98712,2.68876,1.50749,5.98517,2.66610,1.50498,5.98416,2.64755,1.50004,end,,,,,,,,,,,,,,,,,,,,,,
2,11,5.98340,2.64550,1.75020,6.00000,2.65000,1.74995,6.00030,2.65649,1.74993,6.00075,2.67302,1.74995,6.00075,2.69423,1.74994,5.99991,2.70998,1.75034,5.99772,2.71410,1.75213,5.99256,2.70594,1.75536,5.98722,2.68949,1.75748,5.98529,2.66593,1.75498,5.98410,2.64751,1.75004,end,,,,,,,,,,,,,,,,,,,,,,
2,12,5.73340,2.64710,1.75000,5.75000,2.65000,1.74995,5.75030,2.65652,1.74998,5.75075,2.67307,1.75007,5.75075,2.69432,1.75011,5.74991,2.71017,1.75036,5.74772,2.71462,1.75223,5.74256,2.70664,1.75559,5.73722,2.69085,1.75757,5.73531,2.66821,1.75511,5.73411,2.64899,1.74998,end,,,,,,,,,,,,,,,,,,,,,,
